"Tax_HotelID","Tax_HotelName","Tax_HotelAddress","Tax_City"
6281,"DELUXINN","4610 S R L THORNTON FWY","DALLAS"
7529,"GUEST MOTEL","12111 MURPHY RD","STAFFORD"
13355,"SUPER 8 MOTEL","3995 INTERSTATE 10 S","BEAUMONT"
8811,"INTOWN SUITES WEBSTER","480 W BAY AREA BLVD","WEBSTER"
8802,"INTOWN SUITES LEON VALLEY","6451 BANDERA RD","LEON VALLEY"
12883,"SRUTI HOSPITALITY INC.","5820 KATY FWY","HOUSTON"
319,"2400 MCCUE","2400 MCCUE","HOUSTON"
12015,"SAN MONTEGO","1600 ELDRIDGE PKWY","HOUSTON"
7048,"FAIRMONT","2323 LONG BEACH DR","SUGARLAND"
6388,"DOMINION POSTOAK","2323 MCCUE RD","HOUSTON"
10891,"PARK AT RIVER OAKS","3121 BUFFALO SPEEDWAY","HOUSTON"
2028,"BRAESWOOD PLACE","3838 N BRAESWOOD BLVD","HOUSTON"
309,"2222 SMITH","2222 SMITH ST.","HOUSTON"
9687,"LEFT BANK AT RIVER OAKS","5353 MEMORIAL DR","HOUSTON"
11997,"SAN BRISAS","2020 ELDRIDGE PKWY","HOUSTON"
401,"36 SIXTY","3660 RICHMOND AVE","HOUSTON"
9552,"LAKES AT CINCO RANCH","2855 COMMERCIAL CENTER BLVD","KATY"
2062,"BROADSTONE MEMORIAL","875 N ELDRIDGE PKWY","HOUSTON"
10143,"METROPOLE","3616 RICHMOND AVE","HOUSTON"
16141,"UPTOWN POST OAK","1111 POST OAK BLVD","HOUSTON"
971,"AMLI 2121","2121 ALLEN PKWY","HOUSTON"
2257,"CAMDEN CITY CENTRE","301 ST JOSEPH PKWY","HOUSTON"
10252,"MONTIERRA","2345 SAGE RD","HOUSTON"
358,"3000 SAGE","3000 SAGE RD","HOUSTON"
16357,"VILLAGE ON MEMORIAL TOWN HOMES","15200 MEMORIAL DR","HOUSTON"
16238,"VENTURA LOFT","2401 S GESSNER RD","HOUSTON"
10093,"MEMORIAL BY WINDSOR","3131 MEMORIAL CT","HOUSTON"
385,"33 THIRTY THREE","3333 WESLAYAN ST","HOUSTON"
2260,"CAMDEN MIDTOWN","2311 MILAM ST","HOUSTON"
827,"AMALFI AT HERMAN PARK","3 HERMANN MUSEUM CIRCLE DR","HOUSTON"
296,"2121 MID LANE","2121 MID LN","HOUSTON"
297,"2126 MID LANE","2121 MID LN","HOUSTON"
16241,"VERONA","700 COBIA DR","KATY"
16362,"VILLIAGE AT CYPRESSWOOD","10300 CYPRESSWOOD DR","HOUSTON"
6385,"DOMAIN  CITY CENTRE","702 CLEVELAND ST","HOUSTON"
16239,"VENUE @ MIDTOWN","5353 FANNIN ST","HOUSTON"
11177,"POST OAK WOODWAY","99 N POST OAK LN","HOUSTON"
977,"AMLI UPTOWN","2525 MCCUE RD","HOUSTON"
974,"AMLI ELDRIDGE PARKWAY","1415 ELDRIDGE PKWY","HOUSTON"
2063,"BROADSTONE POST OAK","3100 POST OAK BLVD","HOUSTON"
2452,"CARRINGTON PARK LAKES","4475 WILSON RD","HUMBLE"
10141,"METRO GREENWAY","4100 SOUTHWEST FWY","HOUSTON"
16372,"VIRAGE","100 DETERING ST","HOUSTON"
16437,"WATERWALL PLACE","2801 WATERWALL DR","HOUSTON"
318,"24 ELEVEN","2411 WASHINGTON AVE","HOUSTON"
4878,"CITY PLACE MIDTOWN","306 MCGOWEN ST","HOUSTON"
16424,"WATERFORD RANCH","3200 BROMLEY PL","MIDLAND"
7737,"HANOVER SOUTHHAMPTOWN","5122 MORNINGSIDE DR","HOUSTON"
754,"ALEXAN ENCLAVE","13411 BRIAR FOREST DR","HOUSTON"
2259,"CAMDEN HOLLY SPRINGS","680 W SAM HOUSTON PKWY S","HOUSTON"
752,"ALEXAN CITY CENTER","905 TOWN AND COUNTRY BLVD","HOUSTON"
7756,"HARBOR VIEW","4855 MAGNOLIA COVE DR","KINGWOOD"
