"Tp_HotelID","Tp_HotelName","Tp_HotelAddress","Tp_City"
22828042,"Furnished Apartments Downtown Houston","Houston","HOUSTON"
20978966,"Travel Inn San Antonio Lackland Sea World","San Antonio","SAN ANTONIO"
20898298,"Vacation Crashpad","San Antonio","SAN ANTONIO"
113612,"Ziller House","Austin","AUSTIN"
21405116,"Luxe Apartments At The Domain By WanderJaunt","Austin","AUSTIN"
21346389,"Stylish North Austin Apartments By WanderJaunt","Austin","AUSTIN"
21339153,"Historic Rocky Hill","Fredericksburg","FREDERICKSBURG"
125051,"Schildknecht - Weidenfeller House","Fredericksburg","FREDERICKSBURG"
125050,"Fredericksburg Bakery Bed and Breakfast","Fredericksburg","FREDERICKSBURG"
125053,"Kuenemann House Inn","Fredericksburg","FREDERICKSBURG"
619959,"Rocking Ox Gastehaus","Fredericksburg","FREDERICKSBURG"
1466039,"Shatzie Guest Ranch","Fredericksburg","FREDERICKSBURG"
21340518,"Nautilus Condos","Corpus Christi","CORPUS CHRISTI"
22840089,"Palm Bay Condos","Corpus Christi","CORPUS CHRISTI"
1450663,"The Sapphire South Padre Island","South Padre Island","SOUTH PADRE ISLAND"
21014561,"Sunchase","South Padre Island","SOUTH PADRE ISLAND"
21392517,"Gulfview II Condominiums by Padre Island Rentals","South Padre Island","SOUTH PADRE ISLAND"
21353406,"Gulfview ll By Padre Getaways","South Padre Island","SOUTH PADRE ISLAND"
142119,"Ambassador Hotel","Arlington","ARLINGTON"
1751234,"Baker Guest House","Odessa","ODESSA"
1467449,"Barr Ranch Retreat","Odessa","ODESSA"
1467173,"Sayles Ranch Guesthouses","Abilene","ABILENE"
114958,"Stillwater Inn","Jefferson","JEFFERSON"
504556,"Scarlett O'Hardy's Bed and Breakfast","Jefferson","JEFFERSON"
629244,"Trail's End Guest House","Kerrville","KERRVILLE"
570277,"Longhorn Ranch Motel","Terlingua","TERLINGUA"
486424,"Overland Trail Campground and RV Park","Fort Davis","FORT DAVIS"
19260224,"Oeste Boutique Campground","Dripping Springs","DRIPPING SPRINGS"
122712,"Pine Cone Country Inn","Athens","ATHENS"
16713866,"Train Robber Ranch","Rusk","RUSK"
1639344,"Cherokee Rose","Rusk","RUSK"
